#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.13459     2.13459           0
           2     2.12848     2.13153  0.00216113
           3     2.10853     2.12386  0.00642418
           4     2.11187     2.12087  0.00547374
           5     2.11509     2.11971  0.00449934
           6     2.10231     2.11681  0.00459022
           7     2.12481     2.11795  0.00407419
           8     2.09636     2.11525  0.00436806
           9     2.11575     2.11531  0.00388306
          10     2.10282     2.11406  0.00369007
