#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -4.78811    -4.78811           0
           2    -4.78071    -4.78441  0.00261557
           3    -4.76217      -4.777   0.0062982
           4    -4.76596    -4.77424  0.00529364
           5    -4.76972    -4.77333  0.00431149
           6    -4.75443    -4.77018  0.00460217
           7    -4.77897    -4.77144  0.00411223
           8    -4.75078    -4.76886  0.00433393
           9    -4.76863    -4.76883  0.00385246
          10     -4.7549    -4.76744  0.00371044
