#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.58978     1.58978           0
           2     1.59389     1.59183  0.00145008
           3     1.59476     1.59281  0.00125301
           4     1.59541     1.59346  0.00109515
           5     1.59577     1.59392 0.000968934
           6      1.5965     1.59435 0.000897873
           7     1.59613     1.59461 0.000804742
           8     1.59617      1.5948 0.000727437
           9     1.59604     1.59494 0.000659502
          10     1.59584     1.59503 0.000599609
          11     1.59594     1.59511 0.000550799
          12     1.59606     1.59519 0.000510487
          13     1.59571     1.59523 0.000472746
          14     1.59624      1.5953 0.000444434
          15     1.59639     1.59538 0.000420636
          16     1.59614     1.59542 0.000397082
          17     1.59615     1.59547 0.000375999
          18     1.59613      1.5955 0.000356908
          19       1.596     1.59553 0.000339074
          20     1.59629     1.59557 0.000324233
          21     1.59638     1.59561 0.000311109
          22      1.5963     1.59564 0.000298583
          23     1.59687     1.59569 0.000290364
          24     1.59641     1.59572 0.000279811
          25     1.59656     1.59575 0.000270602
          26     1.59653     1.59578 0.000261815
          27     1.59653     1.59581 0.000253572
          28     1.59649     1.59584 0.000245683
          29     1.59673     1.59587 0.000239157
          30     1.59656     1.59589 0.000232289
          31      1.5969     1.59592 0.000227079
          32      1.5966     1.59594 0.000220973
          33     1.59667     1.59597 0.000215367
          34     1.59683     1.59599 0.000210534
          35     1.59675     1.59601 0.000205641
          36     1.59659     1.59603  0.00020055
          37     1.59645     1.59604 0.000195445
          38     1.59665     1.59606 0.000190949
          39     1.59699     1.59608  0.00018756
          40      1.5962     1.59608 0.000182893
          41     1.59668      1.5961 0.000179011
          42     1.59655     1.59611 0.000175074
          43     1.59672     1.59612 0.000171582
          44     1.59678     1.59614 0.000168327
          45     1.59634     1.59614 0.000164648
          46     1.59635     1.59615 0.000161131
          47     1.59661     1.59616 0.000158011
          48     1.59679     1.59617  0.00015526
          49     1.59625     1.59617   0.0001521
          50     1.59678     1.59618 0.000149544
          51     1.59698      1.5962 0.000147429
          52     1.59632      1.5962 0.000144614
          53     1.59696     1.59622 0.000142598
          54     1.59687     1.59623 0.000140465
          55     1.59657     1.59623 0.000138048
          56     1.59684     1.59624 0.000136002
          57     1.59678     1.59625 0.000133934
          58      1.5963     1.59626 0.000131628
          59     1.59661     1.59626 0.000129537
          60     1.59646     1.59626 0.000127421
          61     1.59699     1.59628  0.00012588
          62       1.597     1.59629 0.000124392
          63     1.59655     1.59629 0.000122485
          64     1.59682      1.5963 0.000120853
          65     1.59642      1.5963 0.000119008
          66     1.59621      1.5963 0.000117213
          67     1.59659     1.59631 0.000115543
          68     1.59685     1.59631 0.000114119
          69      1.5967     1.59632 0.000112599
          70     1.59648     1.59632 0.000111015
          71     1.59623     1.59632 0.000109459
          72     1.59644     1.59632 0.000107951
          73     1.59663     1.59633 0.000106555
          74     1.59677     1.59633 0.000105286
          75     1.59704     1.59634 0.000104304
          76     1.59645     1.59634 0.000102941
          77     1.59652     1.59634 0.000101629
          78     1.59654     1.59635 0.000100359
          79     1.59697     1.59636 9.93965e-05
          80     1.59659     1.59636 9.81967e-05
          81     1.59684     1.59636 9.71679e-05
          82     1.59654     1.59637 9.60062e-05
          83     1.59682     1.59637 9.50055e-05
          84     1.59653     1.59637 9.38941e-05
          85     1.59689     1.59638  9.2982e-05
          86     1.59667     1.59638 9.19632e-05
          87     1.59657     1.59639 9.09305e-05
