#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.52192    -1.52192           0
           2    -1.40744    -1.46468   0.0404768
           3    -1.04875    -1.32604    0.116375
           4   -0.829018    -1.20178    0.138555
           5   -0.715794    -1.10458     0.14087
           6   -0.663542    -1.03108    0.135216
           7   -0.575488   -0.965993    0.130628
           8   -0.584346   -0.918287    0.122701
           9   -0.582226   -0.880947    0.114609
          10   -0.594208   -0.852273    0.106675
          11   -0.653719   -0.834223   0.0984922
          12   -0.614058   -0.815876   0.0919775
          13    -0.64385   -0.802643   0.0858489
          14   -0.641214   -0.791112   0.0804875
          15   -0.597715   -0.778219   0.0761473
          16   -0.553448   -0.764171   0.0726724
          17   -0.509809   -0.749208   0.0699209
          18   -0.523876    -0.73669   0.0671477
          19    -0.53961   -0.726317   0.0644098
          20   -0.505974     -0.7153   0.0621244
          21    -0.49996   -0.705046   0.0600064
          22   -0.508296   -0.696103   0.0579414
          23   -0.474019   -0.686447   0.0562211
          24   -0.420545   -0.675368   0.0549593
          25   -0.392619   -0.664058   0.0539121
