#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.392756   -0.392756           0
           2   -0.420569   -0.406662  0.00983328
           3   -0.475047   -0.429457   0.0197328
           4   -0.508184   -0.449139   0.0225733
           5   -0.500124   -0.459336   0.0202311
           6   -0.506029   -0.467118   0.0182949
           7   -0.539353   -0.477437   0.0183625
           8   -0.523973   -0.483254   0.0169635
           9   -0.509988   -0.486225   0.0153365
          10   -0.553648   -0.492967   0.0152129
          11   -0.598471   -0.502558     0.01658
          12   -0.641628   -0.514148   0.0188177
          13    -0.64323   -0.524077   0.0198175
          14   -0.614235   -0.530517   0.0194201
          15    -0.65376   -0.538733   0.0197873
          16   -0.593957   -0.542185   0.0188492
          17   -0.582242   -0.544541   0.0178871
          18   -0.584487    -0.54676   0.0170305
          19   -0.575425   -0.548269   0.0162008
          20   -0.664516   -0.554081   0.0164003
          21   -0.716417   -0.561811   0.0173458
          22   -0.830583   -0.574028   0.0204111
          23    -1.05161   -0.594793   0.0281706
          24    -1.41162   -0.628827   0.0428825
          25    -1.52008   -0.664477   0.0539892
