#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.07447     2.07447           0
           2     2.00088     2.03768   0.0260178
           3     1.76234      1.9459   0.0769187
           4     1.61628     1.86349   0.0917648
           5     1.54105       1.799   0.0933619
           6      1.5067     1.75029   0.0896156
           7     1.44775     1.70707   0.0866107
           8     1.45368     1.67539   0.0813701
           9     1.45218     1.65059   0.0760148
          10     1.46003     1.63154   0.0707617
          11     1.49977     1.61956   0.0653347
          12     1.47341     1.60738   0.0610147
          13     1.49304     1.59858   0.0569517
          14     1.49164     1.59094   0.0533936
          15     1.46273      1.5824   0.0505135
          16     1.43306     1.57306    0.048211
          17     1.40397     1.56312   0.0463898
          18     1.41334      1.5548   0.0445526
          19     1.42374      1.5479   0.0427383
          20     1.40151     1.54058   0.0412234
          21     1.39756     1.53377    0.039819
          22     1.40307     1.52783   0.0384497
          23     1.38059     1.52143    0.037307
          24     1.34464     1.51406   0.0364726
          25     1.32612     1.50654     0.03578
          26     1.32444     1.49954   0.0350827
          27     1.34416     1.49378   0.0342521
          28     1.37528     1.48955   0.0332892
          29     1.38744     1.48603    0.032327
          30     1.37094     1.48219   0.0314763
          31     1.37459     1.47872   0.0306517
          32     1.35817     1.47495   0.0299244
          33     1.36036     1.47148   0.0292184
          34     1.35573     1.46808   0.0285567
          35     1.33867     1.46438   0.0279791
          36     1.36471     1.46161   0.0273386
          37     1.34816     1.45854   0.0267711
          38     1.35689     1.45587   0.0261999
          39     1.33232      1.4527    0.025719
          40     1.33315     1.44971   0.0252491
          41     1.32306     1.44662   0.0248215
          42     1.33616     1.44399   0.0243694
          43     1.31383     1.44097     0.02399
          44     1.29831     1.43772   0.0236628
          45     1.28724     1.43438   0.0233721
          46     1.31295     1.43174   0.0230126
          47     1.32371     1.42944   0.0226375
          48     1.30887     1.42693   0.0223048
          49      1.3104     1.42455    0.021976
          50     1.32177      1.4225   0.0216324
          51     1.28914     1.41988   0.0213657
          52     1.28974     1.41738   0.0211009
          53     1.30423     1.41524   0.0208105
          54      1.2823     1.41278   0.0205702
          55     1.30192     1.41077   0.0202947
          56     1.28614     1.40854   0.0200539
          57     1.26532     1.40603   0.0198589
          58     1.28842       1.404   0.0196198
          59      1.2918      1.4021   0.0193792
          60     1.31641     1.40067   0.0191087
          61     1.32651     1.39945   0.0188341
          62     1.27188      1.3974   0.0186424
          63      1.2691     1.39536   0.0184574
          64     1.27805     1.39353   0.0182598
          65     1.28134      1.3918   0.0180602
          66     1.30843     1.39054   0.0178307
          67     1.30594     1.38928   0.0176092
          68     1.31133     1.38813   0.0173876
          69     1.28228      1.3866   0.0172031
          70     1.28963     1.38521    0.017013
          71     1.32279     1.38433   0.0167961
          72     1.34569     1.38379   0.0165714
          73     1.39022     1.38388   0.0163446
          74     1.37503     1.38376   0.0161242
          75     1.34398     1.38323   0.0159179
          76     1.34134     1.38268    0.015718
          77     1.36506     1.38245   0.0155155
          78     1.36349     1.38221   0.0153185
          79     1.36218     1.38196   0.0151267
          80     1.36387     1.38173   0.0149393
          81     1.34962     1.38133   0.0147601
          82     1.34551      1.3809   0.0145866
          83     1.33912     1.38039   0.0144195
          84     1.33218     1.37982   0.0142593
          85     1.33299     1.37927   0.0141022
          86     1.29867     1.37833   0.0139693
          87     1.29544     1.37738   0.0138412
          88     1.30888      1.3766   0.0137058
          89     1.30544      1.3758   0.0135751
          90      1.3127      1.3751   0.0134424
          91     1.33782     1.37469   0.0133009
          92     1.35211     1.37444   0.0131586
          93     1.36628     1.37436   0.0130174
          94     1.37923     1.37441    0.012879
          95     1.40973     1.37478   0.0127488
          96     1.41428     1.37519   0.0126226
          97     1.37393     1.37518   0.0124925
          98     1.35872     1.37501   0.0123662
          99     1.38237     1.37508   0.0122415
         100     1.35999     1.37493     0.01212
         101     1.35229     1.37471   0.0120021
         102     1.33743     1.37434     0.01189
         103     1.33954     1.37401   0.0117793
         104       1.342      1.3737   0.0116701
         105      1.3304     1.37329   0.0115662
         106     1.33078     1.37289    0.011464
         107     1.33162      1.3725   0.0113634
         108     1.33007     1.37211    0.011265
         109     1.29856     1.37143   0.0111818
         110     1.28204     1.37062   0.0111096
         111     1.31376     1.37011   0.0110214
         112     1.35154     1.36994   0.0109242
         113     1.39499     1.37016   0.0108298
         114     1.34935     1.36998   0.0107363
         115     1.36232     1.36991   0.0106432
         116     1.34577     1.36971   0.0105534
         117      1.3084     1.36918   0.0104762
         118     1.35718     1.36908    0.010388
         119     1.35946       1.369    0.010301
         120     1.36564     1.36897   0.0102152
         121     1.34707     1.36879   0.0101323
         122     1.33491     1.36851   0.0100531
         123     1.36174     1.36846  0.00997152
         124     1.35823     1.36838  0.00989145
         125     1.35375     1.36826  0.00981301
         126     1.32554     1.36792  0.00974098
         127     1.31628     1.36751  0.00967276
         128     1.30609     1.36703  0.00960909
         129     1.35898     1.36697   0.0095348
         130     1.36258     1.36694  0.00946152
         131     1.36902     1.36695   0.0093893
         132     1.33638     1.36672  0.00932103
         133     1.35638     1.36664  0.00925127
         134      1.3305     1.36637  0.00918616
         135     1.29328     1.36583  0.00913406
         136     1.28643     1.36525  0.00908553
         137     1.31249     1.36486  0.00902737
         138     1.30757     1.36445   0.0089715
         139     1.29234     1.36393  0.00892194
         140     1.28681     1.36338   0.0088752
         141     1.29894     1.36292  0.00882402
         142     1.28436     1.36237  0.00877921
         143     1.30829     1.36199  0.00872596
         144     1.34681     1.36188    0.008666
         145     1.35843     1.36186  0.00860626
         146     1.32174     1.36159   0.0085517
         147     1.30078     1.36117  0.00850352
         148     1.29937     1.36075  0.00845631
         149     1.31624     1.36046  0.00840483
         150     1.35726     1.36043  0.00834883
         151     1.36687     1.36048  0.00829365
         152      1.3455     1.36038  0.00823967
         153     1.32634     1.36016  0.00818882
         154     1.31566     1.35987  0.00814074
         155     1.30073     1.35949  0.00809716
         156     1.30079     1.35911  0.00805399
         157      1.3189     1.35885  0.00800676
         158     1.29596     1.35846  0.00796597
         159     1.29958     1.35808  0.00792447
         160     1.33841     1.35796   0.0078759
         161      1.3503     1.35791  0.00782712
         162     1.34674     1.35785  0.00777911
         163      1.3343      1.3577  0.00773273
         164     1.33229     1.35755  0.00768713
         165     1.31668      1.3573  0.00764453
         166     1.32525     1.35711  0.00760092
         167     1.31639     1.35686  0.00755931
         168     1.32919      1.3567  0.00751611
         169      1.3534     1.35668  0.00747166
         170     1.37254     1.35677  0.00742829
