#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.32612     1.32612           0
           2     1.34464     1.33538  0.00654823
           3     1.38059     1.35045   0.0130575
           4     1.40307      1.3636   0.0150228
           5     1.39756     1.37039   0.0134663
           6     1.40151     1.37558   0.0121794
           7     1.42374     1.38246   0.0122292
           8     1.41334     1.38632   0.0112932
           9     1.40397     1.38828   0.0102073
          10     1.43306     1.39276   0.0101213
          11     1.46273     1.39912   0.0110205
          12     1.49164     1.40683   0.0125115
          13     1.49304     1.41346   0.0131899
          14     1.47341     1.41774   0.0129241
          15     1.49977     1.42321   0.0131688
          16     1.46003     1.42551   0.0125452
          17     1.45218     1.42708   0.0119049
          18     1.45368     1.42856   0.0113348
          19     1.44775     1.42957   0.0107831
          20      1.5067     1.43343   0.0109118
          21     1.54105     1.43855    0.011533
          22     1.61628     1.44663    0.013546
          23     1.76235     1.46036    0.018658
          24     2.00092     1.48288   0.0283881
          25     2.07469     1.50655   0.0357864
