#   N_BLOCK:  ACCEPTANCE:
           1   0.0176832
           2   0.0180184
           3   0.0160341
           4    0.015374
           5   0.0147357
           6   0.0140649
           7   0.0137349
           8   0.0136001
           9   0.0137018
          10   0.0136547
          11   0.0137175
          12    0.013728
          13   0.0136781
          14   0.0136743
          15   0.0138378
          16   0.0136972
          17   0.0138153
          18   0.0140039
          19   0.0139366
          20   0.0139548
