#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.862318    0.862318           0
           2    0.775581    0.818949   0.0306661
           3     0.91424    0.850713   0.0330239
           4     0.82438     0.84413   0.0254156
           5    0.928826    0.861069   0.0253566
           6    0.946585    0.875321   0.0248149
           7    0.920014    0.881706   0.0220761
           8    0.913106    0.885631   0.0196624
           9    0.878566    0.884846   0.0174933
          10     0.92967    0.889328   0.0163081
          11    0.865058    0.887122   0.0149741
          12    0.918076    0.889702   0.0139467
          13    0.818929    0.884257   0.0138958
          14     0.91539    0.886481     0.01308
          15    0.854854    0.884373   0.0123768
          16    0.924585    0.886886   0.0118556
          17    0.792013    0.881305   0.0124024
          18    0.842262    0.879136   0.0119015
          19    0.930073    0.881817   0.0115731
          20    0.869918    0.881222   0.0110098
