#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.34373     0.34373           0
           2    0.347552    0.345641  0.00135111
           3      0.2336    0.308294   0.0305069
           4    0.269992    0.298719   0.0243366
           5     0.23459    0.285893   0.0225976
           6    0.201884    0.271891   0.0227593
           7    0.224691    0.265148   0.0204825
           8    0.239249    0.261911   0.0181762
           9    0.284954    0.264471    0.016336
          10    0.255361     0.26356   0.0147278
          11    0.276942    0.264777    0.013439
          12      0.2662    0.264895   0.0123196
          13    0.257908    0.264358   0.0113837
          14    0.268055    0.264622   0.0105736
          15    0.319784      0.2683   0.0104888
          16    0.218001    0.265156   0.0102935
          17    0.317794    0.268252   0.0101431
          18    0.324841    0.271396    0.010055
          19    0.243377    0.269921   0.0096333
          20    0.272629    0.270057  0.00915258
