#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     86.4877     86.4877           0
           2     86.0477     86.2677    0.155571
           3     91.7964     88.1106      1.5083
           4     90.4167     88.6871     1.23651
           5     91.6722     89.2841     1.12413
           6     93.0971     89.9196     1.10186
           7     92.4634      90.283     1.00259
           8     91.5386       90.44    0.889462
           9     89.3964      90.324    0.798156
          10     91.2849     90.4201    0.724101
          11      89.853     90.3685    0.660106
          12     90.1571     90.3509    0.605332
          13     91.0757     90.4067     0.56133
          14     90.7977     90.4346     0.52193
          15     87.3767     90.2307     0.52544
          16     92.6576     90.3824    0.514027
          17     88.6561     90.2809    0.493719
          18     87.1763     90.1084    0.495501
          19     91.4383     90.1784     0.47434
          20     89.5192     90.1454    0.451767
