#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.43819    -5.43819           0
           2    -5.45805    -5.44812  0.00702343
           3    -5.44388    -5.44671  0.00482229
           4    -5.42826     -5.4421  0.00538894
           5    -5.45394    -5.44447  0.00480364
           6    -5.45139    -5.44562  0.00413932
           7    -5.44332    -5.44529  0.00356103
           8    -5.47134    -5.44855  0.00435703
           9    -5.44038    -5.44764  0.00396633
          10    -5.46093    -5.44897  0.00378578
          11    -5.43216    -5.44744  0.00373739
          12    -5.47126    -5.44942  0.00391767
          13    -5.46466     -5.4506  0.00378764
          14    -5.43243     -5.4493   0.0037328
          15    -5.43934    -5.44863  0.00354251
          16    -5.46098    -5.44941  0.00340416
          17    -5.41753    -5.44753  0.00368423
          18      -5.468    -5.44867  0.00365088
          19    -5.44908    -5.44869  0.00345879
          20    -5.42496     -5.4475  0.00348345
