#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.47758     1.47758           0
           2     1.47869     1.47813 0.000391648
           3     1.52358     1.49328   0.0123722
           4     1.39031     1.46754    0.024148
           5     1.45507     1.46505   0.0194467
           6     1.55112     1.47939   0.0208353
           7     1.36238     1.46267   0.0236314
           8     1.49597     1.46684   0.0210409
           9     1.44093     1.46396   0.0188988
          10     1.37085     1.45465   0.0191658
          11     1.48001     1.45695   0.0175616
          12     1.52652     1.46275    0.017028
          13     1.49649     1.46535   0.0159148
          14     1.54815     1.47126   0.0158389
          15     1.49608     1.47292   0.0148692
          16     1.58585     1.47997    0.015525
          17      1.7197     1.49408   0.0200166
          18     1.50477     1.49467   0.0189134
          19     1.54439     1.49729    0.018098
          20     1.38558      1.4917   0.0180343
