#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.37401     1.37401           0
           2      1.3491     1.36156  0.00880744
           3     1.44797     1.39036   0.0242396
           4     1.40082     1.39297   0.0183202
           5     1.36315     1.38701   0.0155969
           6     1.43596     1.39517   0.0149802
           7     1.40364     1.39638    0.012889
           8     1.45578      1.4038   0.0132451
           9     1.37764      1.4009   0.0120882
          10     1.42728     1.40354   0.0111635
          11     1.50136     1.41243   0.0132247
          12     1.32409     1.40507   0.0140228
          13     1.39138     1.40401   0.0129836
          14     1.43094     1.40594   0.0121978
          15     1.37573     1.40392   0.0115497
          16      1.4069     1.40411   0.0108293
          17     1.40946     1.40442   0.0101969
          18     1.43628     1.40619  0.00978277
          19     1.45135     1.40857  0.00955228
          20     1.41033     1.40866  0.00907507
