#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.45362     1.45362           0
           2     1.46978      1.4617  0.00571521
           3     1.54745     1.49028   0.0236466
           4      1.4802     1.48776   0.0178689
           5     1.48818     1.48784   0.0142953
           6     1.48284     1.48701   0.0119371
           7     1.45581     1.48255   0.0110328
           8     1.41235     1.47378   0.0126715
           9     1.46522     1.47283   0.0112992
          10     1.44466     1.47001   0.0105145
          11     1.54766     1.47707   0.0116905
          12     1.32651     1.46452   0.0160974
          13     1.41879       1.461   0.0152387
          14     1.49187     1.46321   0.0143089
          15     1.47966     1.46431   0.0133969
          16     1.44839     1.46331   0.0125965
          17     1.63096     1.47317   0.0152345
          18     1.37894     1.46794   0.0152611
          19     1.44412     1.46668   0.0145093
          20     1.52405     1.46955   0.0140645
