#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11079     1.11079           0
           2     1.10104     1.10592  0.00344821
           3     1.10028     1.10404  0.00276344
           4     1.10617     1.10457  0.00212345
           5     1.10174     1.10401  0.00177295
           6      1.0958     1.10264   0.0019344
           7     1.11631     1.10459   0.0024535
           8     1.10317     1.10441  0.00215324
           9     1.10878      1.1049  0.00196795
          10     1.11535     1.10594  0.00202994
          11     1.09544     1.10499  0.00205771
          12      1.0991      1.1045  0.00194391
          13     1.10173     1.10429    0.001806
          14     1.07999     1.10255  0.00236851
          15     1.09657     1.10215  0.00224396
          16     1.09948     1.10198  0.00210992
          17     1.07721     1.10053  0.00243769
          18     1.09879     1.10043  0.00230418
          19     1.09373     1.10008  0.00220971
          20     1.11309     1.10073  0.00219286
