#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10192     1.10192           0
           2     1.11564     1.10878  0.00485167
           3      1.1061     1.10788  0.00331574
           4     1.09651     1.10504  0.00349955
           5     1.11322     1.10668  0.00315857
           6      1.1116      1.1075  0.00273678
           7     1.10601     1.10728  0.00235403
           8     1.12367     1.10933  0.00281344
           9     1.10431     1.10877  0.00255561
          10      1.1172     1.10962  0.00243493
          11     1.09842      1.1086  0.00241685
          12     1.12562     1.11002  0.00259854
          13     1.12049     1.11082   0.0025204
          14     1.10007     1.11005   0.0024547
          15     1.10261     1.10956  0.00234063
          16     1.11782     1.11008  0.00225057
          17     1.08874     1.10882  0.00244311
          18     1.12147     1.10952  0.00240627
          19     1.10879     1.10948  0.00227994
          20     1.09394     1.10871  0.00229453
