#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.79095    -3.79095           0
           2    -3.79095    -3.79095 5.82481e-07
           3    -3.79174    -3.79122 0.000215564
           4    -3.79203    -3.79142  0.00023958
           5    -3.79207    -3.79155 0.000224083
           6    -3.78902    -3.79113  0.00042783
           7    -3.79288    -3.79138 0.000433842
           8    -3.79128    -3.79137 0.000379796
           9    -3.79201    -3.79144 0.000344226
          10    -3.79218    -3.79151  0.00031775
          11    -3.79172    -3.79153 0.000289439
          12    -3.79038    -3.79144 0.000280636
          13    -3.79244    -3.79151 0.000269531
          14    -3.79094    -3.79147 0.000253333
          15    -3.79307    -3.79158 0.000257827
          16    -3.79079    -3.79153 0.000246364
          17    -3.78954    -3.79141 0.000258145
          18    -3.79232    -3.79146 0.000248671
          19    -3.79018     -3.7914 0.000244572
          20    -3.79207    -3.79143 0.000234634
