  Step          Temp            Mu         Sigma        Energy
     1             2       2.10671      0.921058        18.908
     2          1.84       2.10671      0.921058        18.908
     3        1.6928       2.10671      0.921058        18.908
     4       1.55738       2.10671      0.921058        18.908
     5       1.43279       2.10671      0.921058        18.908
     6       1.31816       2.05436      0.957451       18.1783
     7       1.31816       2.05436      0.957451       18.1783
     8       1.21271       2.05436      0.957451       18.1783
     9       1.21271       2.03366       1.02493       18.4124
    10       1.11569       2.00605      0.988739       17.1031
    11       1.11569       1.99119      0.919977       15.9706
    12       1.02644       1.99119      0.919977       15.9706
    13       1.02644       1.99119      0.919977       15.9706
    14      0.944323       1.87363      0.883241       11.3179
    15      0.944323       1.87363      0.883241       11.3179
    16      0.868777       1.88163      0.884435       11.5783
    17      0.868777       1.81369      0.866176       9.38265
    18      0.799275       1.72624       0.85383       6.76308
    19      0.799275       1.72624       0.85383       6.76308
    20      0.799275        1.6427      0.796101        5.2287
    21      0.735333        1.5683      0.847899       4.73762
    22      0.735333        1.5683      0.847899       4.73762
    23      0.735333       1.44858       0.85387       3.16384
    24      0.676506       1.38865       0.87872        2.8671
    25      0.676506       1.38865       0.87872        2.8671
    26      0.676506       1.38865       0.87872        2.8671
    27      0.622386       1.27006      0.802721       1.30646
    28      0.622386       1.18343      0.838782      0.800387
    29      0.622386       1.18343      0.838782      0.800387
    30      0.572595       1.03849      0.873985      0.471382
    31      0.572595       1.10907      0.912403      0.758089
    32      0.572595       1.12248      0.944557      0.890781
    33      0.526787       1.12248      0.944557      0.890781
    34      0.526787       1.01664      0.975056      0.601501
    35      0.526787       1.01664      0.975056      0.601501
    36      0.526787       1.01664      0.975056      0.601501
    37      0.484644       1.01953      0.960774      0.676492
    38      0.484644       1.07531       0.99503      0.892096
    39      0.484644       1.07531       0.99503      0.892096
    40      0.484644       1.01991      0.946195      0.618984
    41      0.445873       1.01887       0.97447      0.675085
    42      0.445873       1.01887       0.97447      0.675085
    43      0.445873      0.985939      0.988435      0.757755
