0   1 20 32 78 91 24 80 56 108 25 30 47 18 93 9 10 36 8 12 21 26 71 45 94 6 33 52 3 70 83 37 79 85 104 101 40 102 75 11 100 65 34 15 58 81 67 53 107 109 99 16 92 17 29 72 50 68 57 59 13 48 27 103 105 61 106 14 4 96 31 7 2 39 89 42 88 64 87 22 19 97 62 63 49 73 44 54 51 74 77 35 5 90 41 110 69 95 82 84 46 38 43 23 60 86 76 55 28 66 98
1   1 98 66 20 32 56 28 55 76 86 8 12 60 23 43 38 46 84 110 5 35 90 41 63 62 97 19 22 87 64 88 49 73 51 74 77 58 15 34 79 37 69 95 82 52 3 70 83 85 104 65 109 107 53 67 81 54 44 39 89 42 31 96 4 105 103 61 106 14 7 2 68 72 29 50 57 59 27 48 13 92 17 99 16 11 100 75 102 40 101 33 6 94 45 71 26 21 36 10 9 93 18 47 30 25 108 80 24 91 78
2   1 20 32 78 91 24 80 56 108 25 28 30 47 18 93 9 10 55 76 86 8 36 12 21 26 43 23 60 38 46 84 110 41 90 5 37 79 83 70 69 95 82 45 71 94 6 33 52 3 101 40 102 75 100 11 16 99 107 109 65 104 85 34 15 58 81 67 53 17 92 13 48 27 59 57 103 105 61 106 14 4 96 31 42 89 7 2 39 68 50 29 72 44 54 51 73 74 77 35 49 63 88 64 87 22 19 62 97 98 66
3   1 20 32 78 91 24 80 56 108 25 28 30 47 18 93 9 10 55 76 86 8 36 12 21 26 43 23 60 46 38 45 71 94 6 33 52 3 70 83 85 34 79 37 5 69 95 82 84 110 41 90 35 77 74 15 58 81 67 53 107 109 65 100 104 101 40 102 75 11 16 99 17 92 13 48 27 103 105 4 96 31 42 89 39 2 7 14 106 61 59 57 68 50 29 72 44 54 51 73 49 63 88 64 87 22 19 62 97 98 66
4   1 98 66 28 55 76 86 8 12 60 23 43 45 38 46 84 82 95 69 110 90 41 97 62 19 22 87 64 88 63 49 73 51 54 81 67 29 50 72 44 39 89 42 31 96 7 2 68 61 106 14 4 105 103 57 59 27 48 13 92 17 53 107 109 99 16 11 100 75 102 40 101 104 65 85 34 15 58 74 77 35 5 37 79 83 70 3 52 33 6 94 71 26 21 36 10 9 93 18 47 30 25 108 56 80 24 91 78 32 20
5   1 20 32 78 91 24 80 56 108 25 28 30 47 18 93 9 10 55 76 86 8 36 21 12 60 23 38 43 26 71 45 94 6 33 3 52 82 95 69 70 83 37 79 34 15 58 53 107 109 65 100 104 85 101 40 102 75 11 16 99 17 92 13 48 27 103 105 4 14 106 61 57 59 50 68 2 39 89 7 96 31 42 88 64 87 22 19 97 62 63 49 73 51 54 44 72 29 67 81 74 77 35 5 90 41 110 84 46 98 66
6   1 20 32 78 91 24 80 56 108 25 28 30 47 18 93 9 10 55 76 86 8 36 21 12 60 23 43 26 71 45 38 46 84 82 95 110 41 90 5 69 52 6 94 33 3 70 83 37 79 34 85 65 104 101 40 102 75 100 11 16 99 109 107 53 17 92 13 29 72 50 68 57 59 48 27 103 105 61 106 14 4 96 31 42 89 7 2 39 44 54 67 81 58 15 35 77 74 51 73 49 63 88 64 87 22 19 62 97 98 66
7   1 98 66 86 8 12 60 23 43 45 38 46 84 82 95 110 69 70 83 37 79 34 15 58 53 107 17 29 67 81 51 74 77 35 5 90 41 63 62 97 19 22 87 64 88 49 73 54 44 72 50 59 57 68 2 39 89 42 31 7 96 4 14 106 61 105 103 27 48 13 92 16 99 109 65 85 104 100 11 75 102 40 101 3 52 33 6 94 71 26 21 36 10 76 55 9 93 18 47 30 28 25 108 56 80 24 91 78 32 20
8   1 20 32 78 91 24 80 56 108 25 30 28 55 93 47 18 9 10 76 86 8 36 12 21 26 43 23 60 38 46 84 110 90 41 49 73 51 74 77 35 5 69 95 82 45 71 94 6 33 52 3 70 83 37 79 34 85 65 104 101 40 102 75 100 11 16 99 109 107 17 92 13 50 72 29 53 15 58 81 67 54 44 39 2 68 57 59 48 27 103 105 61 106 14 4 96 31 7 89 42 63 88 64 87 22 19 62 97 98 66
9   1 20 32 78 91 24 80 56 108 25 30 28 86 76 55 93 47 18 9 10 36 8 12 60 23 43 21 26 71 94 6 33 3 52 45 38 46 84 82 95 110 69 70 83 37 79 34 85 65 100 104 101 40 102 75 11 16 99 109 107 53 17 92 13 29 67 81 58 15 74 77 35 5 90 41 49 73 51 54 44 72 50 57 59 48 27 103 105 4 96 14 106 61 68 39 2 7 89 31 42 88 63 97 62 64 87 22 19 98 66
10  1 20 32 78 91 24 80 56 108 25 28 30 47 18 93 9 10 55 76 86 60 23 12 8 36 21 26 43 38 46 84 110 69 95 82 45 71 94 6 33 52 3 70 83 79 37 5 90 41 35 77 74 81 58 15 34 85 104 101 40 102 75 11 100 65 109 16 99 107 53 67 72 68 57 59 50 29 17 92 13 48 27 103 105 61 106 14 4 96 31 42 89 7 2 39 44 54 51 73 49 63 88 64 87 22 19 62 97 98 66
